run,R_recover,eta,C_clean,nALC_equal_clean,nALC_detected_clean,nALC_equal_l1,nALC_detected_l1,nALC_oracle
1,0.001670529454754044,-0.21637037151742322,0.0046179218972505764,0.2488122247422213,0.24419430284497073,0.24165666862599777,0.24332719808075182,0.23393597450767425
2,-0.004176811805654851,-3.2076581289031987,9.208377779951205e-05,0.25588670672463126,0.25579462294683175,0.2436323320033792,0.23945552019772434,0.24493446946248648
3,-0.007096556110651769,8.931067282675734,0.02434660635612279,0.2497112129953651,0.22536460663924232,0.23130633164857262,0.22420977553792085,0.23051173948102535
