n_labeled,mean,std,min,max,count
100,0.11682392646868356,0.013304495886315774,0.0876975304385605,0.1344165688181041,10
200,0.17373455553043093,0.019363317489497052,0.1387347938827634,0.2072788052840647,10
300,0.2158836069562855,0.017945789040833056,0.1810138936013438,0.2344077191315239,10
400,0.21052531920018458,0.011811502128754777,0.189200076116817,0.2280373858108369,10
500,0.24766749640228505,0.013653705530635041,0.227981799379508,0.2737769485353428,10
600,0.2619996468725955,0.01386673908329578,0.2366818879619659,0.2809002880058224,10
