setting,method,lambda,run,round,rpe1_alignment,model_alignment,source
full,full_clean,0.0,1,1,0.5536074042320251,0.8554277420043945,GEARS_100_1_300_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_fork_n300_run1_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,2,1,0.5456267595291138,0.8372877240180969,GEARS_100_1_300_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_fork_n300_run2_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,3,1,0.5643194913864136,0.8078813552856445,GEARS_100_1_300_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_fork_n300_run3_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,1,1,0.5583237409591675,0.8418548703193665,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_fork_n500_run1_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,2,1,0.5489067435264587,0.8553423881530762,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_fork_n500_run2_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,3,1,0.5549145936965942,0.8787028789520264,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_fork_n500_run3_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,1,1,0.5583237409591675,0.8418548703193665,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_fork_n500_run1_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,2,1,0.5489067435264587,0.8553423881530762,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_fork_n500_run2_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,3,1,0.5549145936965942,0.8787029385566711,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_fork_n500_run3_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,1,1,0.5583237409591675,0.8418548703193665,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_fork_n500_run1_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,2,1,0.5489067435264587,0.8553423881530762,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_fork_n500_run2_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,3,1,0.5549145936965942,0.8787028789520264,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_fork_n500_run3_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,1,1,0.5583237409591675,0.8418548703193665,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_fork_n500_run1_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,2,1,0.5489067435264587,0.855342447757721,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_fork_n500_run2_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,3,1,0.5549145936965942,0.8787028789520264,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_fork_n500_run3_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,1,1,0.5583237409591675,0.8418548703193665,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_fork_n500_run1_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,2,1,0.5489067435264587,0.8553423881530762,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_fork_n500_run2_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,3,1,0.5549145936965942,0.8787028789520264,GEARS_100_1_500_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_fork_n500_run3_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,1,1,0.45124492049217224,0.8145927786827087,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,1,2,0.5325103402137756,0.8682985901832581,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_round2_state.pkl
full,full_clean,0.0,1,3,0.5536074042320251,0.8554276823997498,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_round3_state.pkl
full,full_clean,0.0,1,4,0.5648961663246155,0.8892258405685425,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run1_Core-Set_diff_effect_round4_state.pkl
full,full_clean,0.0,2,1,0.45124492049217224,0.7992715239524841,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,2,2,0.5254677534103394,0.8447603583335876,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_round2_state.pkl
full,full_clean,0.0,2,3,0.5456267595291138,0.8372877836227417,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_round3_state.pkl
full,full_clean,0.0,2,4,0.5567678809165955,0.8630795478820801,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run2_Core-Set_diff_effect_round4_state.pkl
full,full_clean,0.0,3,1,0.45124492049217224,0.8144113421440125,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_round1_state.pkl
full,full_clean,0.0,3,2,0.5482719540596008,0.8554793000221252,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_round2_state.pkl
full,full_clean,0.0,3,3,0.5643194913864136,0.8078814148902893,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_round3_state.pkl
full,full_clean,0.0,3,4,0.5672956109046936,0.8609140515327454,GEARS_100_4_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run3_Core-Set_diff_effect_round4_state.pkl
full,full_l0.5,0.5,1,1,0.3371804654598236,0.8197304010391235,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_round1_state.pkl
full,full_l0.5,0.5,1,2,0.4260452091693878,0.8607099056243896,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_round2_state.pkl
full,full_l0.5,0.5,1,3,0.4411425292491913,0.8583235740661621,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_round3_state.pkl
full,full_l0.5,0.5,1,4,0.44237953424453735,0.8735612630844116,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_round4_state.pkl
full,full_l0.5,0.5,1,5,0.4505920708179474,0.8725392818450928,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run1_Core-Set_diff_effect_round5_state.pkl
full,full_l0.5,0.5,2,1,0.3371804654598236,0.8034787774085999,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_round1_state.pkl
full,full_l0.5,0.5,2,2,0.428609699010849,0.8654741048812866,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_round2_state.pkl
full,full_l0.5,0.5,2,3,0.4373510181903839,0.8786844611167908,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_round3_state.pkl
full,full_l0.5,0.5,2,4,0.4442848265171051,0.8875867128372192,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_round4_state.pkl
full,full_l0.5,0.5,2,5,0.44533485174179077,0.8742464780807495,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run2_Core-Set_diff_effect_round5_state.pkl
full,full_l0.5,0.5,3,1,0.3371804654598236,0.8133740425109863,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_round1_state.pkl
full,full_l0.5,0.5,3,2,0.42055806517601013,0.8536480069160461,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_round2_state.pkl
full,full_l0.5,0.5,3,3,0.4411069452762604,0.8694753646850586,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_round3_state.pkl
full,full_l0.5,0.5,3,4,0.4558541774749756,0.8771473169326782,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_round4_state.pkl
full,full_l0.5,0.5,3,5,0.45453810691833496,0.8760127425193787,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l0.5_cs20260826_run3_Core-Set_diff_effect_round5_state.pkl
full,full_l1,1.0,1,1,0.13576294481754303,0.8175797462463379,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_corrupt_permute_rpe1_l1_cs20260826_run1_Core-Set_diff_effect_round1_state.pkl
