nALC,P200,P300,P400,P600,method,run,setting,lambda
0.2488122247422213,0.250943998070829,0.2590858000799021,0.2672205447175775,0.2850330809695465,full_clean,1,full,0.0
0.25588670672463126,0.2436895090743624,0.2774809388198668,0.2932253540272341,0.3073434368238878,full_clean,2,full,0.0
0.2497112129953651,0.2101186874993296,0.2576545117024995,0.2819498227497923,0.2851588465403418,full_clean,3,full,0.0
0.24796861723281646,0.252963711730851,0.2825926820281628,0.251783344928869,0.2805625055966151,full_l0.5,1,full,0.5
0.25503506066281306,0.2370064933136996,0.2625486186223893,0.2750692810638993,0.2988373378998132,full_l0.5,2,full,0.5
0.2405906234910016,0.2303058518374059,0.2468194533962576,0.2502744406268676,0.2736170115064232,full_l0.5,3,full,0.5
0.23097948120871004,0.2399935954250178,0.239743558542996,0.2166708318771,0.2560402381105183,full_l1,1,full,1.0
0.22638317328549162,0.2279527804204636,0.2230108174631201,0.2501718948889293,0.2722319807962514,full_l1,2,full,1.0
0.23319156609380967,0.2222508071957519,0.2401106849204005,0.241081258755808,0.2752767893907101,full_l1,3,full,1.0
0.23393597450767425,0.2317459082617086,0.2215872846417955,0.2708007294986443,0.2872032665978699,oracle_drop,1,full,
0.24493446946248648,0.2193559684922167,0.2398365767841036,0.2694415390758113,0.2785436339252221,oracle_drop,2,full,
0.23051173948102535,0.161153197904433,0.2438936179313504,0.2565015016209194,0.2927387785831569,oracle_drop,3,full,
0.20940237820014865,0.1756994981477211,0.2292085457622597,0.2096023219947804,0.275575121031144,model_only,1,model_only,
0.21770707902815972,0.1790153081168254,0.2079120293095121,0.2483546291542292,0.2647927903250545,model_only,3,model_only,
0.25660462378543836,0.2515292682199789,0.2892702764713734,0.2706578828198904,0.2892740423805016,two_source_clean,1,two_source,0.0
0.25713011711299,0.2334633209871012,0.2861944269235182,0.2801212084729338,0.2757859403851949,two_source_clean,2,two_source,0.0
0.25565928899813406,0.2711598637204094,0.2712253715763801,0.2463753181171593,0.2888648891191573,two_source_clean,3,two_source,0.0
0.24926178477534205,0.2128446191887078,0.2490367229436504,0.2773066280926901,0.3238770047965936,two_source_l0.5,1,two_source,0.5
0.250066951961348,0.2387819906869236,0.2647788288847619,0.2617669904857732,0.2998102545446163,two_source_l0.5,2,two_source,0.5
0.25057550964691816,0.2271272780274859,0.236616329465523,0.2797843700734474,0.2974133243964922,two_source_l0.5,3,two_source,0.5
0.23366742334025428,0.1909111285588212,0.2564186463053127,0.26340628656514,0.2692679841848122,two_source_l1,1,two_source,1.0
0.22827789837611645,0.2199612917684818,0.2091407780026307,0.2793855097271159,0.2586790653463346,two_source_l1,2,two_source,1.0
0.22753689648080255,0.224325793649659,0.1965063068286954,0.2555568689364169,0.2728551256846373,two_source_l1,3,two_source,1.0
