run,setting,lambda,D_nALC,D200,D300,D400,D600,note
1,two_source,0.5,0.007342839010096303,0.038684649031271084,0.04023355352772298,-0.006648745272799683,-0.03460296241609201,
1,two_source,1.0,0.022937200445184075,0.0606181396611577,0.032851630166060686,0.007251596254750414,0.020006058195689402,
1,full,0.5,0.0008436075094048479,-0.0020197136600220156,-0.02350688194826067,0.0154371997887085,0.004470575372931385,
1,full,1.0,0.017832743533511275,0.010950402645811208,0.019342241536906113,0.05054971284047749,0.0289928428590282,
1,oracle_vs_full_l1,1.0,0.002956493298964219,-0.008247687163309203,-0.018156273901200504,0.0541298976215443,0.031163028487351585,"H, not D: oracle-drop minus corrupted full"
2,two_source,0.5,0.007063165151642015,-0.005318669699822393,0.02141559803875631,0.018354217987160637,-0.02402431415942141,
2,two_source,1.0,0.028852218736873547,0.013502029218619399,0.07705364892088751,0.0007356987458179143,0.01710687503886027,
2,full,0.5,0.0008516460618182009,0.006683015760662797,0.014932320197477478,0.018156072963334824,0.008506098924074612,
2,full,1.0,0.02950353343913964,0.0157367286538988,0.0544701213567467,0.04305345913830477,0.035111456027636434,
2,oracle_vs_full_l1,1.0,0.018551296176994858,-0.008596811928246906,0.016825759320983513,0.019269644186881985,0.006311653128970696,"H, not D: oracle-drop minus corrupted full"
3,two_source,0.5,0.0050837793512159,0.04403258569292351,0.03460904211085711,-0.03340905195628813,-0.008548435277334898,
3,two_source,1.0,0.028122392517331507,0.04683407007075041,0.0747190647476847,-0.009181550819257589,0.016009763434519986,
3,full,0.5,0.009120589504363508,-0.020187164338076297,0.010835058306241874,0.0316753821229247,0.01154183503391859,
3,full,1.0,0.01651964690155544,-0.012132119696422305,0.01754382678209898,0.04086856399398431,0.009882057149631696,
3,oracle_vs_full_l1,1.0,-0.0026798266127843196,-0.06109760929131891,0.003782933010949896,0.0154202428651114,0.017461989192446792,"H, not D: oracle-drop minus corrupted full"
