n_labeled,mean,std,min,max,count
100,0.11581704427141719,0.01617331765541286,0.0807488436340811,0.1381138686909598,10
200,0.19338650936185459,0.017241351434268973,0.1685010117385899,0.2163766677637217,10
300,0.2248568682417187,0.017650639916233155,0.2082038004757132,0.2669103283692517,10
400,0.2519052762252426,0.01285262285850321,0.2322649898659913,0.2673028306232413,10
500,0.2662817940624001,0.016178209388694867,0.2401384851780527,0.296419903077844,10
600,0.2770062702849917,0.012620263908037995,0.2611002735390464,0.2956947792898084,10
