n_labeled,biogpt,esm,model,node2vec,ops_A549,ops_HeLa_DMEM,ops_HeLa_HPLM,pops,rpe1
100,0.31543219089508057,0.31112152338027954,0.816895866394043,0.4093255400657654,0.35417608688580027,0.23595663568280018,0.21758231172590325,0.42333891463465223,0.45124492049217224
200,0.36759546399116516,0.3692997217178345,0.8478034734725952,0.41197298765182494,0.3282994952042849,0.15509718758202373,0.17370826177826199,0.2255312782100205,0.537181043624878
300,0.38145594000816346,0.38125566244125364,0.8561640024185181,0.4242945730686188,0.318479595192786,0.13789822753732778,0.1709314087581707,0.25873924444951824,0.5505707502365113
400,0.39563522338867185,0.3933193445205688,0.8750917077064514,0.4338167905807495,0.3295493488290441,0.14109622055456117,0.17935014116461598,0.284995513429593,0.5683196902275085
500,0.40955352783203125,0.40344058275222777,0.8766720175743103,0.441621869802475,0.3384638462133142,0.13638449570171327,0.17865924743029962,0.2939019069156076,0.579852283000946
