n_labeled,mean_model_alignment,mean_prior_alignment,r_t
100,0.816895866394043,0.3397722654703067,2.4042452825374383
200,0.8478034734725952,0.3210856799700367,2.6404275442981797
300,0.8561640024185181,0.32795317521154377,2.6106287943888815
400,0.8750917077064514,0.3407602840869141,2.568056632689187
500,0.8766720175743103,0.34773471995607685,2.5210942918930983
