source,run,model_weight,round,n_labeled,kernel,alignment,mean_prior_alignment,model_over_prior,from_json
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round3_round_state.json,1,0.0,3,300,ops_A549,0.3070644775349403,0.31896724197265747,2.595771369159467,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round3_round_state.json,1,0.0,3,300,ops_HeLa_DMEM,0.13576284761318852,0.31896724197265747,2.595771369159467,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round3_round_state.json,1,0.0,3,300,ops_HeLa_HPLM,0.17582077139924637,0.31896724197265747,2.595771369159467,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round3_round_state.json,1,0.0,3,300,pops,0.22807498456431333,0.31896724197265747,2.595771369159467,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round3_round_state.json,1,0.0,3,300,rpe1,0.5406314134597778,0.31896724197265747,2.595771369159467,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round4_round_state.json,1,0.0,4,400,biogpt,0.3865206241607666,0.3263847908773056,2.6523027458458577,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round4_round_state.json,1,0.0,4,400,esm,0.3807277977466583,0.3263847908773056,2.6523027458458577,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round4_round_state.json,1,0.0,4,400,model,0.8656712770462036,0.3263847908773056,2.6523027458458577,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round4_round_state.json,1,0.0,4,400,node2vec,0.4048212468624115,0.3263847908773056,2.6523027458458577,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round4_round_state.json,1,0.0,4,400,ops_A549,0.31875436596777723,0.3263847908773056,2.6523027458458577,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round4_round_state.json,1,0.0,4,400,ops_HeLa_DMEM,0.13517624999671762,0.3263847908773056,2.6523027458458577,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round4_round_state.json,1,0.0,4,400,ops_HeLa_HPLM,0.17811203877938767,0.3263847908773056,2.6523027458458577,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round4_round_state.json,1,0.0,4,400,pops,0.2568448153409685,0.3263847908773056,2.6523027458458577,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round4_round_state.json,1,0.0,4,400,rpe1,0.5501211881637573,0.3263847908773056,2.6523027458458577,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round5_round_state.json,1,0.0,5,500,biogpt,0.3919428884983063,0.3280225506450948,2.6799729442740143,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round5_round_state.json,1,0.0,5,500,esm,0.3853272795677185,0.3280225506450948,2.6799729442740143,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round5_round_state.json,1,0.0,5,500,model,0.8790915608406067,0.3280225506450948,2.6799729442740143,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round5_round_state.json,1,0.0,5,500,node2vec,0.4029630422592163,0.3280225506450948,2.6799729442740143,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round5_round_state.json,1,0.0,5,500,ops_A549,0.3194342363238997,0.3280225506450948,2.6799729442740143,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round5_round_state.json,1,0.0,5,500,ops_HeLa_DMEM,0.13529514680754606,0.3280225506450948,2.6799729442740143,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round5_round_state.json,1,0.0,5,500,ops_HeLa_HPLM,0.1761258675476884,0.3280225506450948,2.6799729442740143,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round5_round_state.json,1,0.0,5,500,pops,0.2681868180615645,0.3280225506450948,2.6799729442740143,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.0_run1_Core-Set_diff_effect_round5_round_state.json,1,0.0,5,500,rpe1,0.5449051260948181,0.3280225506450948,2.6799729442740143,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round1_round_state.json,1,0.25,1,100,biogpt,0.31543219089508057,0.3397722654703067,2.404178024485121,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round1_round_state.json,1,0.25,1,100,esm,0.31112152338027954,0.3397722654703067,2.404178024485121,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round1_round_state.json,1,0.25,1,100,model,0.8168730139732361,0.3397722654703067,2.404178024485121,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round1_round_state.json,1,0.25,1,100,node2vec,0.4093255400657654,0.3397722654703067,2.404178024485121,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round1_round_state.json,1,0.25,1,100,ops_A549,0.35417608688580027,0.3397722654703067,2.404178024485121,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round1_round_state.json,1,0.25,1,100,ops_HeLa_DMEM,0.23595663568280018,0.3397722654703067,2.404178024485121,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round1_round_state.json,1,0.25,1,100,ops_HeLa_HPLM,0.21758231172590325,0.3397722654703067,2.404178024485121,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round1_round_state.json,1,0.25,1,100,pops,0.42333891463465223,0.3397722654703067,2.404178024485121,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round1_round_state.json,1,0.25,1,100,rpe1,0.45124492049217224,0.3397722654703067,2.404178024485121,True
GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.25_run1_Core-Set_diff_effect_round2_round_state.json,1,0.25,2,200,biogpt,0.3851816952228546,0.32161107476389394,2.5987582755847587,True
