run,round,n_labeled,perm_seed,signal,z0,z05,z1,d_z_0_05,d_z_0_1,d_z_05_1,ordered_0_gt_05_gt_1
1,1,100,20260826,cons,0.4031854667512124,0.5028891086275525,0.4172705556585074,-0.09970364187634012,-0.014085088907294985,0.08561855296904514,False
1,1,100,20260826,cons_full,0.4247763974251374,0.4876488217304923,0.37825947758197226,-0.06287242430535489,0.04651691984316514,0.10938934414852003,False
1,1,100,20260826,loc,0.237,0.188,0.07,0.04899999999999999,0.16699999999999998,0.118,True
1,1,100,20260826,obs,0.45124494210971544,0.33718051050588377,0.13576294508941464,0.11406443160383167,0.3154819970203008,0.20141756541646913,True
1,1,100,20260826,pm,0.39637272085091446,0.2950456403635653,0.11759059712468158,0.10132708048734917,0.2787821237262329,0.17745504323888373,True
1,1,100,20260827,cons,0.4031854667512124,0.49628800054450867,0.41700237929474504,-0.09310253379329625,-0.013816912543532622,0.07928562124976363,False
1,1,100,20260827,cons_full,0.4247763974251374,0.48840922606165904,0.3820972989531789,-0.06363282863652164,0.0426790984719585,0.10631192710848014,False
1,1,100,20260827,loc,0.237,0.171,0.064,0.06599999999999998,0.173,0.10700000000000001,True
1,1,100,20260827,obs,0.45124494210971544,0.3768788852749481,0.19631204250479092,0.07436605683476732,0.2549328996049245,0.1805668427701572,True
1,1,100,20260827,pm,0.39637272085091446,0.3115704618228066,0.14294338417969898,0.08480225902810784,0.2534293366712155,0.16862707764310764,True
1,1,100,20260828,cons,0.4031854667512124,0.4866246329647415,0.37712707915832416,-0.08343916621352909,0.026058387592888255,0.10949755380641735,False
1,1,100,20260828,cons_full,0.4247763974251374,0.4862838912347319,0.3757072454817988,-0.06150749380959453,0.04906915194333861,0.11057664575293313,False
1,1,100,20260828,loc,0.237,0.18600000000000005,0.08299999999999999,0.050999999999999934,0.154,0.10300000000000006,True
1,1,100,20260828,obs,0.45124494210971544,0.3897357555499624,0.18285145355987195,0.061509186559753015,0.26839348854984346,0.20688430199009047,True
1,1,100,20260828,pm,0.39637272085091446,0.32187653316950354,0.12900635407708938,0.07449618768141092,0.2673663667738251,0.19287017909241416,True
1,1,100,20260829,cons,0.4031854667512124,0.4893738822917823,0.38866381685672874,-0.08618841554056988,0.01452164989448368,0.10071006543505356,False
1,1,100,20260829,cons_full,0.4247763974251374,0.48676591304599104,0.3809076724890633,-0.06198951562085364,0.04386872493607408,0.10585824055692772,False
1,1,100,20260829,loc,0.237,0.20099999999999998,0.10699999999999997,0.036000000000000004,0.13,0.09400000000000001,True
1,1,100,20260829,obs,0.45124494210971544,0.3610998866547427,0.15110824455431987,0.09014505545497276,0.30013669755539557,0.20999164210042282,True
1,1,100,20260829,pm,0.39637272085091446,0.3147817766887783,0.12907039341103824,0.08159094416213614,0.26730232743987625,0.1857113832777401,True
1,1,100,20260830,cons,0.4031854667512124,0.4926137216448892,0.40623895417081474,-0.08942825489367678,-0.0030534874196023187,0.08637476747407447,False
1,1,100,20260830,cons_full,0.4247763974251374,0.48657164465559405,0.38149618633728666,-0.06179524723045665,0.04328021108785074,0.10507545831830739,False
1,1,100,20260830,loc,0.237,0.16400000000000003,0.052000000000000005,0.07299999999999995,0.185,0.11200000000000003,True
1,1,100,20260830,obs,0.45124494210971544,0.3373420607440491,0.14999058004302854,0.11390288136566634,0.3012543620666869,0.18735148070102056,True
1,1,100,20260830,pm,0.39637272085091446,0.28784694041476494,0.11968692791612542,0.10852578043614952,0.276685792934789,0.16816001249863952,True
1,2,200,20260826,cons,0.43135791716387034,0.47847659055395964,0.3641584424273958,-0.047118673390089294,0.06719947473647453,0.11431814812656382,False
1,2,200,20260826,cons_full,0.4247763974251374,0.4876488217304923,0.37825947758197226,-0.06287242430535489,0.04651691984316514,0.10938934414852003,False
1,2,200,20260826,loc,0.1765,0.126,0.019500000000000003,0.05049999999999999,0.15699999999999997,0.1065,True
1,2,200,20260826,obs,0.5325103149086212,0.45672730442483905,0.1910756672514078,0.07578301048378216,0.34143464765721343,0.26565163717343127,True
1,2,200,20260826,pm,0.563080184959077,0.4867983718292001,0.20947712296387094,0.07628181312987686,0.353603061995206,0.27732124886532916,True
1,2,200,20260827,cons,0.43135791716387034,0.47166542367120046,0.3633967883994878,-0.040307506507330115,0.06796112876438254,0.10826863527171265,False
1,2,200,20260827,cons_full,0.4247763974251374,0.48840922606165904,0.3820972989531789,-0.06363282863652164,0.0426790984719585,0.10631192710848014,False
1,2,200,20260827,loc,0.1765,0.131,0.041999999999999996,0.045499999999999985,0.1345,0.08900000000000001,True
1,2,200,20260827,obs,0.5325103149086212,0.4998068696821865,0.2856487352585504,0.0327034452264347,0.24686157965007083,0.21415813442363613,True
1,2,200,20260827,pm,0.563080184959077,0.5318327716865797,0.30863456353877256,0.03124741327249725,0.2544456214203044,0.22319820814780716,True
1,2,200,20260828,cons,0.43135791716387034,0.4616413474085042,0.32650727154446685,-0.03028343024463387,0.10485064561940349,0.13513407586403736,False
1,2,200,20260828,cons_full,0.4247763974251374,0.4862838912347319,0.3757072454817988,-0.06150749380959453,0.04906915194333861,0.11057664575293313,False
1,2,200,20260828,loc,0.1765,0.15,0.07,0.026499999999999996,0.10649999999999998,0.07999999999999999,True
1,2,200,20260828,obs,0.5325103149086212,0.4851639527312187,0.2312576148671216,0.04734636217740251,0.3012527000414996,0.2539063378640971,True
1,2,200,20260828,pm,0.563080184959077,0.5208693934033216,0.26045866370573556,0.042210791555755356,0.3026215212533414,0.26041072969758605,True
1,2,200,20260829,cons,0.43135791716387034,0.46551621235985985,0.3387448118539003,-0.03415829519598951,0.09261310530997002,0.12677140050595953,False
1,2,200,20260829,cons_full,0.4247763974251374,0.48676591304599104,0.3809076724890633,-0.06198951562085364,0.04386872493607408,0.10585824055692772,False
1,2,200,20260829,loc,0.1765,0.136,0.055999999999999994,0.04049999999999998,0.1205,0.08000000000000002,True
1,2,200,20260829,obs,0.5325103149086212,0.4677147485959997,0.21058936680346965,0.06479556631262151,0.3219209481051516,0.2571253817925301,True
1,2,200,20260829,pm,0.563080184959077,0.49699151049778684,0.22738814988514347,0.06608867446129013,0.3356920350739335,0.26960336061264334,True
1,2,200,20260830,cons,0.43135791716387034,0.4632415301086927,0.351495037826394,-0.03188361294482234,0.07986287933747632,0.11174649228229866,False
1,2,200,20260830,cons_full,0.4247763974251374,0.48657164465559405,0.38149618633728666,-0.06179524723045665,0.04328021108785074,0.10507545831830739,False
1,2,200,20260830,loc,0.1765,0.12200000000000001,0.038000000000000006,0.05449999999999998,0.13849999999999998,0.084,True
1,2,200,20260830,obs,0.5325103149086212,0.4492627923905939,0.20297709198850436,0.0832475225180273,0.3295332229201169,0.24628570040208955,True
1,2,200,20260830,pm,0.563080184959077,0.4818588889942837,0.22744766655565674,0.08122129596479327,0.33563251840342023,0.25441122243862696,True
1,3,300,20260826,cons,0.45343315007029555,0.4895300990225079,0.3666062582193249,-0.03609694895221233,0.08682689185097064,0.12292384080318297,False
1,3,300,20260826,cons_full,0.4247763974251374,0.4876488217304923,0.37825947758197226,-0.06287242430535489,0.04651691984316514,0.10938934414852003,False
1,3,300,20260826,loc,0.13266666666666668,0.108,0.016000000000000004,0.024666666666666684,0.11666666666666668,0.092,True
1,3,300,20260826,obs,0.5536073299321482,0.4839067840077761,0.22302162234660064,0.06970054592437214,0.3305857075855476,0.2608851616611755,True
1,3,300,20260826,pm,0.5992073617341197,0.5300856821899467,0.25386686611065384,0.06912167954417303,0.34534049562346586,0.27621881607929283,True
1,3,300,20260827,cons,0.45343315007029555,0.4874279213578067,0.3672426704160935,-0.03399477128751116,0.08619047965420207,0.12018525094171323,False
1,3,300,20260827,cons_full,0.4247763974251374,0.48840922606165904,0.3820972989531789,-0.06363282863652164,0.0426790984719585,0.10631192710848014,False
1,3,300,20260827,loc,0.13266666666666668,0.11,0.03866666666666667,0.022666666666666682,0.09400000000000001,0.07133333333333333,True
1,3,300,20260827,obs,0.5536073299321482,0.5082817222421948,0.2738194646249164,0.04532560768995342,0.2797878653072318,0.2344622576172784,True
1,3,300,20260827,pm,0.5992073617341197,0.5527592927861031,0.3016224939777737,0.04644806894801656,0.297584867756346,0.25113679880832945,True
1,3,300,20260828,cons,0.45343315007029555,0.4807970676019025,0.3355941025248748,-0.02736391753160694,0.11783904754542074,0.14520296507702768,False
1,3,300,20260828,cons_full,0.4247763974251374,0.4862838912347319,0.3757072454817988,-0.06150749380959453,0.04906915194333861,0.11057664575293313,False
1,3,300,20260828,loc,0.13266666666666668,0.10933333333333332,0.03933333333333334,0.02333333333333336,0.09333333333333335,0.06999999999999998,True
1,3,300,20260828,obs,0.5536073299321482,0.49046257876628974,0.21806247649502095,0.06314475116585849,0.33554485343712726,0.27240010227126876,True
