run,n_labeled,cons,cons_full,loc,obs,pm
1,100,-0.014085088907294985,0.04651691984316514,0.16699999999999998,0.3154819970203008,0.2787821237262329
1,200,0.06719947473647453,0.04651691984316514,0.15699999999999997,0.34143464765721343,0.353603061995206
1,300,0.08682689185097064,0.04651691984316514,0.11666666666666668,0.3305857075855476,0.34534049562346586
1,400,0.08317639507867014,0.04651691984316514,0.10825,0.33553566550974046,0.3340925294206218
1,500,0.08506056267574785,0.04651691984316514,0.1004,0.33808935197774576,
2,100,-0.014085088907294985,0.04651691984316514,0.16699999999999998,0.3154819970203008,0.2779900952315969
2,200,0.06672982034897812,0.04651691984316514,0.15000000000000002,0.34133285579538775,0.361572755272178
2,300,0.09421133485443495,0.04651691984316514,0.09866666666666667,0.3182519170172443,0.32660372168494695
2,400,0.07968536160477552,0.04651691984316514,0.09125000000000001,0.3160012718094496,0.31621880026969734
2,500,0.08179584818371499,0.04651691984316514,0.09540000000000001,0.324750426572783,
3,100,-0.014085088907294985,0.04651691984316514,0.16699999999999998,0.3154819970203008,0.2778641024230659
3,200,0.06776397547947499,0.04651691984316514,0.1775,0.34998696592319234,0.35908138114549537
3,300,0.0889998999320129,0.04651691984316514,0.12966666666666668,0.3395404182319781,0.3343801385915891
3,400,0.07390476165163162,0.04651691984316514,0.10775,0.31733604991545333,0.27970538991149363
3,500,0.0777541054837384,0.04651691984316514,0.1086,0.3224697446519849,
