run,round,n_labeled,perm_seed,lambda,signal,z
1,2,200,20260828,0.0,cons,0.43135791716387034
1,2,200,20260828,0.0,loc,0.1765
1,2,200,20260828,0.0,cons_full,0.4247763974251374
1,2,200,20260828,0.5,obs,0.4851639527312187
1,2,200,20260828,0.5,pm,0.5208693934033216
1,2,200,20260828,0.5,cons,0.4616413474085042
1,2,200,20260828,0.5,loc,0.15
1,2,200,20260828,0.5,cons_full,0.4862838912347319
1,2,200,20260828,1.0,obs,0.2312576148671216
1,2,200,20260828,1.0,pm,0.26045866370573556
1,2,200,20260828,1.0,cons,0.32650727154446685
1,2,200,20260828,1.0,loc,0.07
1,2,200,20260828,1.0,cons_full,0.3757072454817988
1,2,200,20260829,0.0,obs,0.5325103149086212
1,2,200,20260829,0.0,pm,0.563080184959077
1,2,200,20260829,0.0,cons,0.43135791716387034
1,2,200,20260829,0.0,loc,0.1765
1,2,200,20260829,0.0,cons_full,0.4247763974251374
1,2,200,20260829,0.5,obs,0.4677147485959997
1,2,200,20260829,0.5,pm,0.49699151049778684
1,2,200,20260829,0.5,cons,0.46551621235985985
1,2,200,20260829,0.5,loc,0.136
1,2,200,20260829,0.5,cons_full,0.48676591304599104
1,2,200,20260829,1.0,obs,0.21058936680346965
1,2,200,20260829,1.0,pm,0.22738814988514347
1,2,200,20260829,1.0,cons,0.3387448118539003
1,2,200,20260829,1.0,loc,0.055999999999999994
1,2,200,20260829,1.0,cons_full,0.3809076724890633
1,2,200,20260830,0.0,obs,0.5325103149086212
1,2,200,20260830,0.0,pm,0.563080184959077
1,2,200,20260830,0.0,cons,0.43135791716387034
1,2,200,20260830,0.0,loc,0.1765
1,2,200,20260830,0.0,cons_full,0.4247763974251374
1,2,200,20260830,0.5,obs,0.4492627923905939
1,2,200,20260830,0.5,pm,0.4818588889942837
1,2,200,20260830,0.5,cons,0.4632415301086927
1,2,200,20260830,0.5,loc,0.12200000000000001
1,2,200,20260830,0.5,cons_full,0.48657164465559405
1,2,200,20260830,1.0,obs,0.20297709198850436
1,2,200,20260830,1.0,pm,0.22744766655565674
1,2,200,20260830,1.0,cons,0.351495037826394
1,2,200,20260830,1.0,loc,0.038000000000000006
1,2,200,20260830,1.0,cons_full,0.38149618633728666
1,3,300,20260826,0.0,obs,0.5536073299321482
1,3,300,20260826,0.0,pm,0.5992073617341197
1,3,300,20260826,0.0,cons,0.45343315007029555
1,3,300,20260826,0.0,loc,0.13266666666666668
1,3,300,20260826,0.0,cons_full,0.4247763974251374
1,3,300,20260826,0.5,obs,0.4839067840077761
1,3,300,20260826,0.5,pm,0.5300856821899467
1,3,300,20260826,0.5,cons,0.4895300990225079
1,3,300,20260826,0.5,loc,0.108
1,3,300,20260826,0.5,cons_full,0.4876488217304923
1,3,300,20260826,1.0,obs,0.22302162234660064
1,3,300,20260826,1.0,pm,0.25386686611065384
1,3,300,20260826,1.0,cons,0.3666062582193249
1,3,300,20260826,1.0,loc,0.016000000000000004
1,3,300,20260826,1.0,cons_full,0.37825947758197226
1,3,300,20260827,0.0,obs,0.5536073299321482
1,3,300,20260827,0.0,pm,0.5992073617341197
1,3,300,20260827,0.0,cons,0.45343315007029555
1,3,300,20260827,0.0,loc,0.13266666666666668
1,3,300,20260827,0.0,cons_full,0.4247763974251374
1,3,300,20260827,0.5,obs,0.5082817222421948
1,3,300,20260827,0.5,pm,0.5527592927861031
1,3,300,20260827,0.5,cons,0.4874279213578067
1,3,300,20260827,0.5,loc,0.11
1,3,300,20260827,0.5,cons_full,0.48840922606165904
1,3,300,20260827,1.0,obs,0.2738194646249164
1,3,300,20260827,1.0,pm,0.3016224939777737
1,3,300,20260827,1.0,cons,0.3672426704160935
1,3,300,20260827,1.0,loc,0.03866666666666667
1,3,300,20260827,1.0,cons_full,0.3820972989531789
1,3,300,20260828,0.0,obs,0.5536073299321482
1,3,300,20260828,0.0,pm,0.5992073617341197
1,3,300,20260828,0.0,cons,0.45343315007029555
1,3,300,20260828,0.0,loc,0.13266666666666668
1,3,300,20260828,0.0,cons_full,0.4247763974251374
1,3,300,20260828,0.5,obs,0.49046257876628974
1,3,300,20260828,0.5,pm,0.5409216934837409
1,3,300,20260828,0.5,cons,0.4807970676019025
1,3,300,20260828,0.5,loc,0.10933333333333332
1,3,300,20260828,0.5,cons_full,0.4862838912347319
1,3,300,20260828,1.0,obs,0.21806247649502095
1,3,300,20260828,1.0,pm,0.2559949530681857
1,3,300,20260828,1.0,cons,0.3355941025248748
1,3,300,20260828,1.0,loc,0.03933333333333334
1,3,300,20260828,1.0,cons_full,0.3757072454817988
1,3,300,20260829,0.0,obs,0.5536073299321482
1,3,300,20260829,0.0,pm,0.5992073617341197
1,3,300,20260829,0.0,cons,0.45343315007029555
1,3,300,20260829,0.0,loc,0.13266666666666668
1,3,300,20260829,0.0,cons_full,0.4247763974251374
1,3,300,20260829,0.5,obs,0.49593601782723795
1,3,300,20260829,0.5,pm,0.5420130079159101
1,3,300,20260829,0.5,cons,0.4813033681305051
1,3,300,20260829,0.5,loc,0.11666666666666667
1,3,300,20260829,0.5,cons_full,0.48676591304599104
1,3,300,20260829,1.0,obs,0.24420465344284717
1,3,300,20260829,1.0,pm,0.2748944647039797
1,3,300,20260829,1.0,cons,0.3519579229028352
1,3,300,20260829,1.0,loc,0.04266666666666667
1,3,300,20260829,1.0,cons_full,0.3809076724890633
1,3,300,20260830,0.0,obs,0.5536073299321482
1,3,300,20260830,0.0,pm,0.5992073617341197
1,3,300,20260830,0.0,cons,0.45343315007029555
1,3,300,20260830,0.0,loc,0.13266666666666668
1,3,300,20260830,0.0,cons_full,0.4247763974251374
1,3,300,20260830,0.5,obs,0.47930924919293144
1,3,300,20260830,0.5,pm,0.5193014953405153
1,3,300,20260830,0.5,cons,0.48294028956073337
1,3,300,20260830,0.5,loc,0.10699999999999998
1,3,300,20260830,0.5,cons_full,0.48657164465559405
1,3,300,20260830,1.0,obs,0.2379049385592198
1,3,300,20260830,1.0,pm,0.25848556388526484
1,3,300,20260830,1.0,cons,0.36861242183808246
1,3,300,20260830,1.0,loc,0.024
1,3,300,20260830,1.0,cons_full,0.38149618633728666
1,4,400,20260826,0.0,obs,0.5648959946078752
1,4,400,20260826,0.0,pm,0.616577551820048
1,4,400,20260826,0.0,cons,0.44678048109816043
1,4,400,20260826,0.0,loc,0.1225
1,4,400,20260826,0.0,cons_full,0.4247763974251374
1,4,400,20260826,0.5,obs,0.49673376246390444
1,4,400,20260826,0.5,pm,0.5585630710533167
1,4,400,20260826,0.5,cons,0.48574773790523906
1,4,400,20260826,0.5,loc,0.1065
1,4,400,20260826,0.5,cons_full,0.4876488217304923
1,4,400,20260826,1.0,obs,0.22936032909813472
1,4,400,20260826,1.0,pm,0.28248502239942624
1,4,400,20260826,1.0,cons,0.3636040860194903
1,4,400,20260826,1.0,loc,0.014249999999999999
