n_labeled,mean,std,min,max,count
100,0.11574841242439518,0.014438493448055027,0.086374448105023,0.1319436268950542,10
200,0.19969135128338658,0.016926054719232277,0.1709524226266424,0.2212146057960672,10
300,0.22841793135822988,0.02844197805588862,0.176058657665265,0.2610050286612188,10
400,0.24662341305118676,0.022151523601936972,0.1938142803662743,0.277079673979907,10
500,0.26699553465638176,0.016923933018834214,0.2448954806861057,0.3015785250012612,10
600,0.2747331968598515,0.015920515614229632,0.2415741430361258,0.2943672378776722,10
