prior,n_labeled,teacher_mean,teacher_std,teacher_n,local_mean,local_std,local_n,dev_from_teacher
pops_kernel,100,0.1168263408383082,0.0105660682035927,5,0.1002782508730888,,1,-1.566153998475297
pops_kernel,200,0.2003456756624964,0.0263577791170328,5,0.1948460191488266,,1,-0.2086540178233693
pops_kernel,300,0.2134614542452984,0.0178210805006174,5,0.2424869388341903,,1,1.6287163164930631
pops_kernel,400,0.2448315637963269,0.0099408799032751,5,0.2588031888008117,,1,1.4054716625116612
pops_kernel,500,0.2602531434729794,0.0059343521546684,5,0.2262316197156906,,1,-5.732980259778642
pops_kernel,600,0.2668785728033195,0.0033412213043927,5,0.2850801646709442,,1,5.447586439035061
rpe1_kernel,100,0.1164942087086021,0.0063375212033765,5,0.094385839998722,,1,-3.4884883222325507
rpe1_kernel,200,0.2439900394692021,0.0189387741897016,5,0.2069872468709945,,1,-1.9538113833327573
rpe1_kernel,300,0.2764066791527583,0.0141576037325825,5,0.2750529050827026,,1,-0.09562169528308802
rpe1_kernel,400,0.2703649010236035,0.013861451909923,5,0.2869598567485809,,1,1.1972018395199673
rpe1_kernel,500,0.2871318450122152,0.0092928026120896,5,0.2516213655471802,,1,-3.8212884688669915
rpe1_kernel,600,0.2904121957760036,0.0091371266598367,6,0.2965423464775085,,1,0.670905737626545
esm_kernel,100,0.115681915631148,0.0098695086692609,5,0.0988333895802497,,1,-1.707129160681921
esm_kernel,200,0.177478920798621,0.0157003796146302,5,0.160446897149086,,1,-1.0848160406047707
esm_kernel,300,0.1922127617469344,0.0280969951819862,5,0.1332168877124786,,1,-2.09972182620723
esm_kernel,400,0.2022420567558668,0.0154720823600847,5,0.1683281064033508,,1,-2.1919447921249517
esm_kernel,500,0.2156352628834611,0.02069078069934,5,0.1983891576528549,,1,-0.8335164091298078
esm_kernel,600,0.2509839319953079,0.0163550316330973,5,0.2518720328807831,,1,0.0543013859831348
biogpt_kernel,100,0.1149696914766181,0.0121652044111574,5,0.1077523604035377,,1,-0.5932765968536448
biogpt_kernel,200,0.1847087621303792,0.0137996764414619,5,0.17831651866436,,1,-0.4632169089713844
biogpt_kernel,300,0.2227554128227117,0.0206837194725641,5,0.2017555981874466,,1,-1.0152823172408754
biogpt_kernel,400,0.2375539309750314,0.0081165922414695,5,0.191152349114418,,1,-5.716879754478397
biogpt_kernel,500,0.2410829880860202,0.0208219640237577,5,0.236208975315094,,1,-0.23408035694255278
biogpt_kernel,600,0.2531022646158592,0.0199748061615588,5,0.2074912339448928,,1,-2.2834279492906484
node2vec_kernel,100,0.1176924537283151,0.008803367726103,5,0.1062051877379417,,1,-1.3048717658711833
node2vec_kernel,200,0.1288447125902082,0.0218153234815774,5,0.0945303067564964,,1,-1.5729496682774202
node2vec_kernel,300,0.1199636708749148,0.0120354276818425,5,0.0616691820323467,,1,-4.843574352618586
node2vec_kernel,400,0.1674864477875072,0.017461148149934,5,0.1685748845338821,,1,0.06233477529821077
node2vec_kernel,500,0.1854795330961389,0.0206315299640809,5,0.16416597366333,,1,-1.0330576292652756
node2vec_kernel,600,0.1990629887846143,0.0257520277957489,5,0.1889665871858596,,1,-0.39206239131278764
ops_A549_kernel,100,0.1167876209076812,0.0074504052322428,5,0.0998581871390342,,1,-2.2722836196053087
ops_A549_kernel,200,0.206952012865814,0.0249419346796726,5,0.222433254122734,,1,0.6206912757869193
ops_A549_kernel,300,0.2363457632251991,0.0183128818352222,5,0.2506032884120941,,1,0.7785516946586045
ops_A549_kernel,400,0.256175945837559,0.0232264992141303,5,0.2546664774417877,,1,-0.0649890619268593
ops_A549_kernel,500,0.2767152711274899,0.0056075412081826,5,0.2751021087169647,,1,-0.28767731714057176
ops_A549_kernel,600,0.2782112026599047,0.0139702341867365,5,0.2934445738792419,,1,1.0904163105440243
ops_HeLa_HPLM_kernel,100,0.1124810467249449,0.0118371806113804,5,0.1041051968932151,,1,-0.7075882430717635
ops_HeLa_HPLM_kernel,200,0.206340149355287,0.0366891159540047,5,0.2066658288240432,,1,0.008876732521014785
ops_HeLa_HPLM_kernel,300,0.246386800771951,0.0213002358412119,5,0.2348086982965469,,1,-0.5435668676025953
ops_HeLa_HPLM_kernel,400,0.2429454061979526,0.0177050892095144,5,0.267633706331253,,1,1.3944182851128106
ops_HeLa_HPLM_kernel,500,0.2850025451783903,0.00864596477284,5,0.2754369676113128,,1,-1.1063632363072209
ops_HeLa_HPLM_kernel,600,0.2951525478443887,0.0117654805929632,5,0.2929707467556,,1,-0.1854408811904928
ops_HeLa_DMEM_kernel,100,0.1159682624552745,0.0101198076086882,5,0.09836345911026,,1,-1.7396381458774157
ops_HeLa_DMEM_kernel,200,0.2326728229564933,0.0206030653255176,5,0.2153933197259903,,1,-0.838686038096562
ops_HeLa_DMEM_kernel,300,0.2447846232195283,0.0185380491652547,5,0.2698342502117157,,1,1.3512547501026786
ops_HeLa_DMEM_kernel,400,0.2596216932200051,0.0204641440809913,5,0.2876248061656952,,1,1.3683989340019143
ops_HeLa_DMEM_kernel,500,0.290699686734108,0.011198535042093,5,0.2987210750579834,,1,0.7162890765376572
ops_HeLa_DMEM_kernel,600,0.2988933169150376,0.0063807180580872,5,0.2925225496292114,,1,-0.9984404933472351
