prior,mean,std,n
rpe1_kernel,0.29041219577600363,0.009137126659836724,5
ops_A549_kernel,0.27821120265990473,0.013970234186736577,5
pops_kernel,0.2668785728033195,0.003341221304392718,5
biogpt_kernel,0.25310226461585916,0.01997480616155889,5
esm_kernel,0.25098393199530794,0.016355031633097393,5
