n_labeled,mean,std,min,max,count
100,0.11549125068939611,0.01272166193463144,0.0944624208932169,0.1322701750063985,10
200,0.23343236843419884,0.02078366941031476,0.2070692572428474,0.2755585588218638,10
300,0.26366233578386333,0.012996450694956276,0.2446938121136877,0.2810699126153806,10
400,0.27209839224667315,0.019096266733499564,0.2396780512225892,0.2932253540272341,10
500,0.2817383213080397,0.015360930694725905,0.2560191484732944,0.3004641334154201,10
600,0.284455406592267,0.012107396545464506,0.2684755059024121,0.3073434368238878,10
