method,nALC,pearson_600
early_model,0.2500886999991385,0.2810097276708775
early_prior,0.24476615602991575,0.27430499608558967
fixed_0.5,0.24839426941538906,0.2885642041806925
fixed_0.75,0.24851425885575598,0.2799202254094829
paper,0.25186774138546825,0.2883280632669266
