run,seed,round,n_labeled,pearson_delta,frac_opposite_direction_top20_non_dropout,mse_non_dropout,mse_top20_de_non_dropout,pearson_delta_top20_de_non_dropout,mse_4_non_dropout,mse_4_top20_de_non_dropout,method,source
5,1,5,600,0.2956294460984451,,,,,,,paper,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_run5_Core-Set_diff_effect_metrics.csv
1,1,0,100,0.1067043988488826,0.42578125,0.0108960503712296,0.1162939071655273,0.175955976032497,0.0025276940032587,0.088160130548537,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.2323134613911483,0.3755208333333333,0.0095275361090898,0.1035656258463859,0.3116168263992957,0.002204562838034,0.0806560190068012,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.274638947829511,0.3473958333333333,0.0094264345243573,0.0918489322066307,0.3926254929148543,0.0019625692760091,0.0646775570462523,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run1_Core-Set_diff_effect_metrics.csv
1,1,3,400,0.2594388868098026,0.3455729166666666,0.009115264751017,0.0939044132828712,0.3456409468831403,0.0018444116501608,0.0629804090740738,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run1_Core-Set_diff_effect_metrics.csv
1,1,4,500,0.2636782436327369,0.3257812499999999,0.0091116055846214,0.0910709872841835,0.3524493589384181,0.0018452267457784,0.0600912673767197,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run1_Core-Set_diff_effect_metrics.csv
1,1,5,600,0.2825151750691961,0.3260416666666666,0.0085542323067784,0.0865673646330833,0.3841285603721953,0.0016532104860574,0.0573184563135328,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run1_Core-Set_diff_effect_metrics.csv
2,1,0,100,0.113506750374191,0.4572916666666667,0.0103797717019915,0.1151935458183288,0.1648178388120642,0.0023476738087386,0.0860105944365386,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run2_Core-Set_diff_effect_metrics.csv
2,1,1,200,0.2218868395830713,0.3791666666666666,0.0099482275545597,0.0979349389672279,0.2815437761224575,0.0021547590598105,0.0720353270588627,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run2_Core-Set_diff_effect_metrics.csv
2,1,2,300,0.2750068077282738,0.3570312499999999,0.0090403715148568,0.0878481864929199,0.3503652881990924,0.0016312226970573,0.0544777281262213,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run2_Core-Set_diff_effect_metrics.csv
2,1,3,400,0.2722999405335511,0.3403645833333333,0.0090188374742865,0.0877648219466209,0.3526163299889828,0.0017033496045599,0.0566854093590639,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run2_Core-Set_diff_effect_metrics.csv
2,1,4,500,0.278159020879522,0.3236979166666666,0.0087273754179477,0.0893851742148399,0.3439339520192974,0.0016018778223127,0.0556399763328045,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run2_Core-Set_diff_effect_metrics.csv
2,1,5,600,0.2867698262347325,0.3234375,0.0083547150716185,0.0841914787888526,0.3610332675984224,0.0014334682953752,0.0495739776662352,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run2_Core-Set_diff_effect_metrics.csv
3,1,0,100,0.1088038602995381,0.4544270833333332,0.0107780946418643,0.116885669529438,0.1351542213076519,0.0024133914711807,0.0846241925563238,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run3_Core-Set_diff_effect_metrics.csv
3,1,1,200,0.2151259480524258,0.38203125,0.0097948564216494,0.0989409908652305,0.2766063971233766,0.0020446266998987,0.0718759375753506,fixed_0.5,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.5_run3_Core-Set_diff_effect_metrics.csv
