method,n_labeled,mean,std,count
early_model,100,0.11957031310119066,0.011228950134357867,5
early_model,200,0.22702716230704395,0.018572869513243658,5
early_model,300,0.26056978317879487,0.01619833423501142,5
early_model,400,0.27490389278739846,0.010219188162347539,5
early_model,500,0.2876526413364213,0.016084858981160112,5
early_model,600,0.2810097276708775,0.010019632454213548,5
early_prior,100,0.11644946738543256,0.012058659256039855,5
early_prior,200,0.2429071679167071,0.007009649361531952,5
early_prior,300,0.24531225696438522,0.03352549171554943,5
early_prior,400,0.261191255038803,0.01893405034023556,5
early_prior,500,0.27904286849417215,0.011582473697128854,5
early_prior,600,0.27430499608558967,0.013092576094198073,5
fixed_0.5,100,0.11439547180382122,0.008438862767697794,5
fixed_0.5,200,0.22710681260052704,0.00829142050315599,5
fixed_0.5,300,0.2563458445703519,0.02327622711457653,5
fixed_0.5,400,0.27663436076843806,0.012205466253038933,5
fixed_0.5,500,0.2804044911453716,0.01127422690236521,5
fixed_0.5,600,0.2885642041806925,0.01029541277539214,5
fixed_0.75,100,0.11720925594190208,0.008739734393408107,5
fixed_0.75,200,0.23498776320852746,0.015091650795706927,5
fixed_0.75,300,0.26239321903341806,0.006868167569624533,5
fixed_0.75,400,0.2696388681720424,0.025441000386957954,5
fixed_0.75,500,0.2769867031890995,0.011767638180552943,5
fixed_0.75,600,0.2799202254094829,0.010703698723107821,5
paper,100,0.11380498431877899,0.009161975501862218,5
paper,200,0.24149215457956955,0.024721836943277054,5
paper,300,0.26132883236068233,0.012217913917403837,5
paper,400,0.27758558647882886,0.015317075501467318,5
paper,500,0.2778656097154077,0.02078550704615792,5
paper,600,0.2883280632669266,0.014404161722177946,5
