n_labeled,iterpert_mean,iterpert_std,random_mean,random_std,coreset_mean,coreset_std,bald_mean,bald_std,lcmd_mean,lcmd_std,badge_mean,badge_std,acsfw_mean,acsfw_std,batchbald_mean,batchbald_std,typiclust_mean,typiclust_std,kmeans_mean,kmeans_std
100,0.11549125068939611,0.01272166193463144,0.11682392646868356,0.013304495886315774,0.1148873283162661,0.01312275260452,0.11552581621825772,0.01557237484025961,0.11559815668988885,0.01356613503718155,0.11581704427141719,0.01617331765541286,0.11574841242439518,0.014438493448055027,0.11463485096302488,0.014256745759083323,0.11656097588282184,0.014540899697575403,0.11673339246242354,0.012902254202998863
200,0.23343236843419884,0.02078366941031476,0.17373455553043093,0.019363317489497052,0.18604070638317832,0.02462383935562677,0.17662820133463003,0.01747232670639606,0.17764846446525653,0.025413525491014232,0.19338650936185459,0.017241351434268973,0.19969135128338658,0.016926054719232277,0.20057775177565978,0.021509722092832174,0.20555029503044148,0.016882066010661202,0.20580287303709127,0.017347631238001614
300,0.26366233578386333,0.012996450694956276,0.2158836069562855,0.017945789040833056,0.21281659617862977,0.021939320729633574,0.20159947761220437,0.026107055642908425,0.23241672108062383,0.01731012536048142,0.2248568682417187,0.017650639916233155,0.22841793135822988,0.02844197805588862,0.20636765107920238,0.021553614968172805,0.23094914061371474,0.01492101749548453,0.23567874206713496,0.025393186540013518
400,0.27209839224667315,0.019096266733499564,0.21052531920018458,0.011811502128754777,0.23658844123616712,0.029046601648092956,0.2228438423985409,0.023120489537606717,0.2476310109445817,0.015223015370760932,0.2519052762252426,0.01285262285850321,0.24662341305118676,0.022151523601936972,0.2368907521775939,0.01934415036021581,0.24895205005977986,0.012664413634237858,0.25162231126849616,0.021831445929250477
500,0.2817383213080397,0.015360930694725905,0.24766749640228505,0.013653705530635041,0.25126930899477734,0.02485808158195678,0.22570396267443668,0.02081598440360723,0.262294420563943,0.015739056731421994,0.2662817940624001,0.016178209388694867,0.26699553465638176,0.016923933018834214,0.24051973066251509,0.007090424328870251,0.2646585328070946,0.013940975563823762,0.26401577520613523,0.017320763845734194
600,0.284455406592267,0.012107396545464506,0.2619996468725955,0.01386673908329578,0.2512058002023164,0.025696565940323258,0.24868120979326952,0.013597908154611838,0.27636391627772094,0.011119075342954468,0.2770062702849917,0.012620263908037995,0.2747331968598515,0.015920515614229632,0.2500303316984871,0.01578022850194018,0.2746830378480859,0.012597190080894759,0.2746077771054433,0.018682888193753064
