n_labeled,mean,std,min,max,count
100,0.11559815668988885,0.01356613503718155,0.0888943031473018,0.1337584577999295,10
200,0.17764846446525653,0.025413525491014232,0.1440469038911231,0.2160894658339999,10
300,0.23241672108062383,0.01731012536048142,0.1994500390621557,0.2526567229486569,10
400,0.2476310109445817,0.015223015370760932,0.2205051474402897,0.2674079040268245,10
500,0.262294420563943,0.015739056731421994,0.2374934035985508,0.2792818555278164,10
600,0.27636391627772094,0.011119075342954468,0.2653835002384264,0.3054347812884904,11
