split,budget,policy,objective,value,cost
0,90,probe(dev-fitted),frac_ge_0.5,0.5081967213114754,21960.0
0,90,probe(dev-fitted),frac_ge_0.7,0.3442622950819672,21960.0
0,90,est_norm,mean_r,0.4821465406686136,21960.0
0,90,est_norm,frac_ge_0.5,0.5081967213114754,21960.0
0,90,est_norm,frac_ge_0.7,0.3442622950819672,21960.0
0,90,half_split_r,mean_r,0.4797828451927835,21960.0
0,90,half_split_r,frac_ge_0.5,0.5040983606557377,21960.0
0,90,half_split_r,frac_ge_0.7,0.3442622950819672,21960.0
0,90,noise_ratio,mean_r,0.4757402061225205,21960.0
0,90,noise_ratio,frac_ge_0.5,0.5081967213114754,21960.0
0,90,noise_ratio,frac_ge_0.7,0.3360655737704918,21960.0
0,90,prior_typiclust,mean_r,0.4763446836083456,21960.0
0,90,prior_typiclust,frac_ge_0.5,0.5081967213114754,21960.0
0,90,prior_typiclust,frac_ge_0.7,0.3442622950819672,21960.0
0,90,random,mean_r,0.4749479850560434,21960.0
0,90,random,frac_ge_0.5,0.4959016393442623,21960.0
0,90,random,frac_ge_0.7,0.3237704918032787,21960.0
0,90,oracle_mean_r,mean_r,0.4892254514976588,21960.0
0,90,oracle_mean_r,frac_ge_0.5,0.5081967213114754,21960.0
0,90,oracle_mean_r,frac_ge_0.7,0.3442622950819672,21960.0
0,90,oracle_frac_ge_0.5,mean_r,0.4771319674862335,21960.0
0,90,oracle_frac_ge_0.5,frac_ge_0.5,0.5081967213114754,21960.0
0,90,oracle_frac_ge_0.5,frac_ge_0.7,0.32786885245901637,21960.0
0,90,oracle_frac_ge_0.7,mean_r,0.4737321117942481,21960.0
0,90,oracle_frac_ge_0.7,frac_ge_0.5,0.48360655737704916,21960.0
0,90,oracle_frac_ge_0.7,frac_ge_0.7,0.3442622950819672,21960.0
1,40,uniform,mean_r,0.4352811242951859,9760.0
1,40,uniform,frac_ge_0.5,0.44672131147540983,9760.0
1,40,uniform,frac_ge_0.7,0.29918032786885246,9760.0
1,40,probe(dev-fitted),mean_r,0.4224355202542759,9760.0
1,40,probe(dev-fitted),frac_ge_0.5,0.4426229508196721,9760.0
1,40,probe(dev-fitted),frac_ge_0.7,0.29918032786885246,9760.0
1,40,est_norm,mean_r,0.4139423903879866,9760.0
1,40,est_norm,frac_ge_0.5,0.4139344262295082,9760.0
1,40,est_norm,frac_ge_0.7,0.25,9760.0
1,40,half_split_r,mean_r,0.41417219560735546,9760.0
1,40,half_split_r,frac_ge_0.5,0.4139344262295082,9760.0
1,40,half_split_r,frac_ge_0.7,0.24180327868852458,9760.0
1,40,noise_ratio,mean_r,0.40735360890098266,9760.0
1,40,noise_ratio,frac_ge_0.5,0.4139344262295082,9760.0
1,40,noise_ratio,frac_ge_0.7,0.23770491803278687,9760.0
1,40,prior_typiclust,mean_r,0.4173081587824959,9760.0
1,40,prior_typiclust,frac_ge_0.5,0.4180327868852459,9760.0
1,40,prior_typiclust,frac_ge_0.7,0.28688524590163933,9760.0
1,40,random,mean_r,0.41302147950642154,9760.0
1,40,random,frac_ge_0.5,0.4262295081967213,9760.0
1,40,random,frac_ge_0.7,0.26639344262295084,9760.0
1,40,oracle_mean_r,mean_r,0.43497095236361033,9760.0
1,40,oracle_mean_r,frac_ge_0.5,0.47540983606557374,9760.0
1,40,oracle_mean_r,frac_ge_0.7,0.3073770491803279,9760.0
1,40,oracle_frac_ge_0.5,mean_r,0.4236080836207457,9760.0
1,40,oracle_frac_ge_0.5,frac_ge_0.5,0.5163934426229508,9760.0
1,40,oracle_frac_ge_0.5,frac_ge_0.7,0.25,9760.0
1,40,oracle_frac_ge_0.7,mean_r,0.4239420024594617,9760.0
1,40,oracle_frac_ge_0.7,frac_ge_0.5,0.4180327868852459,9760.0
1,40,oracle_frac_ge_0.7,frac_ge_0.7,0.38114754098360654,9760.0
1,55,uniform,mean_r,0.46157029679462075,13420.0
1,55,uniform,frac_ge_0.5,0.48360655737704916,13420.0
1,55,uniform,frac_ge_0.7,0.3442622950819672,13420.0
1,55,probe(dev-fitted),mean_r,0.4499176652256598,13420.0
1,55,probe(dev-fitted),frac_ge_0.5,0.4672131147540984,13420.0
1,55,probe(dev-fitted),frac_ge_0.7,0.35655737704918034,13420.0
1,55,est_norm,mean_r,0.44341620865571846,13420.0
1,55,est_norm,frac_ge_0.5,0.4262295081967213,13420.0
1,55,est_norm,frac_ge_0.7,0.36065573770491804,13420.0
