avg_budget,objective,rule,actual_budget,value,k_deep
30,mean_r,uniform,30.0,0.40286365135908153,0
30,mean_r,oracle,30.03048780487805,0.4019942284259349,55
30,mean_r,probe,30.03048780487805,0.4010564746809852,55
30,mean_r,est_norm,30.03048780487805,0.3964666491843489,55
30,mean_r,half_split_r,30.03048780487805,0.3963822436706202,55
30,mean_r,random,30.03048780487805,0.39856849130283506,55
30,frac_r_ge_0.5,uniform,30.0,0.38902439024390245,0
30,frac_r_ge_0.5,oracle,30.03048780487805,0.3853658536585366,55
30,frac_r_ge_0.5,probe,30.03048780487805,0.38658536585365855,55
30,frac_r_ge_0.5,est_norm,30.03048780487805,0.3829268292682927,55
30,frac_r_ge_0.5,half_split_r,30.03048780487805,0.3829268292682927,55
30,frac_r_ge_0.5,random,30.03048780487805,0.39146341463414636,55
30,frac_r_ge_0.7,uniform,30.0,0.23902439024390243,0
30,frac_r_ge_0.7,oracle,30.03048780487805,0.2804878048780488,55
30,frac_r_ge_0.7,probe,30.03048780487805,0.2475609756097561,55
30,frac_r_ge_0.7,est_norm,30.03048780487805,0.21341463414634146,55
30,frac_r_ge_0.7,half_split_r,30.03048780487805,0.21341463414634146,55
30,frac_r_ge_0.7,random,30.03048780487805,0.22560975609756098,55
40,mean_r,uniform,40.0,0.4256703931421922,0
40,mean_r,oracle,40.0,0.4190824890700169,164
40,mean_r,probe,40.0,0.42094858458894546,164
40,mean_r,est_norm,40.0,0.4097253356206218,164
40,mean_r,half_split_r,40.0,0.40951228180969734,164
40,mean_r,random,40.0,0.4117773409154306,164
40,frac_r_ge_0.5,uniform,40.0,0.4146341463414634,0
40,frac_r_ge_0.5,oracle,40.0,0.39390243902439026,164
40,frac_r_ge_0.5,probe,40.0,0.41341463414634144,164
40,frac_r_ge_0.5,est_norm,40.0,0.3829268292682927,164
40,frac_r_ge_0.5,half_split_r,40.0,0.3829268292682927,164
40,frac_r_ge_0.5,random,40.0,0.41341463414634144,164
40,frac_r_ge_0.7,uniform,40.0,0.2780487804878049,0
40,frac_r_ge_0.7,oracle,40.0,0.3548780487804878,164
40,frac_r_ge_0.7,probe,40.0,0.31585365853658537,164
40,frac_r_ge_0.7,est_norm,40.0,0.22682926829268293,164
40,frac_r_ge_0.7,half_split_r,40.0,0.2280487804878049,164
40,frac_r_ge_0.7,random,40.0,0.23536585365853657,164
50,mean_r,uniform,50.0,0.4484771349253028,0
50,mean_r,oracle,49.96951219512195,0.43257373877026645,273
50,mean_r,probe,49.96951219512195,0.43827874656082794,273
50,mean_r,est_norm,49.96951219512195,0.4278191486699384,273
50,mean_r,half_split_r,49.96951219512195,0.4277149101369503,273
50,mean_r,random,49.96951219512195,0.4258408651518119,273
50,frac_r_ge_0.5,uniform,50.0,0.4451219512195122,0
50,frac_r_ge_0.5,oracle,49.96951219512195,0.4146341463414634,273
50,frac_r_ge_0.5,probe,49.96951219512195,0.4451219512195122,273
50,frac_r_ge_0.5,est_norm,49.96951219512195,0.38658536585365855,273
50,frac_r_ge_0.5,half_split_r,49.96951219512195,0.3902439024390244,273
50,frac_r_ge_0.5,random,49.96951219512195,0.42073170731707316,273
50,frac_r_ge_0.7,uniform,50.0,0.3048780487804878,0
50,frac_r_ge_0.7,oracle,49.96951219512195,0.3548780487804878,273
50,frac_r_ge_0.7,probe,49.96951219512195,0.348780487804878,273
50,frac_r_ge_0.7,est_norm,49.96951219512195,0.31585365853658537,273
50,frac_r_ge_0.7,half_split_r,49.96951219512195,0.3121951219512195,273
50,frac_r_ge_0.7,random,49.96951219512195,0.2658536585365854,273
60,mean_r,uniform,60.0,0.4578659507676939,0
60,mean_r,oracle,60.03048780487805,0.4444086309298141,383
60,mean_r,probe,60.03048780487805,0.4556354227449911,383
60,mean_r,est_norm,60.03048780487805,0.44924543462682476,383
60,mean_r,half_split_r,60.03048780487805,0.448333216448221,383
60,mean_r,random,60.03048780487805,0.4420060981663431,383
60,frac_r_ge_0.5,uniform,60.0,0.4560975609756098,0
60,frac_r_ge_0.5,oracle,60.03048780487805,0.4268292682926829,383
60,frac_r_ge_0.5,probe,60.03048780487805,0.48292682926829267,383
60,frac_r_ge_0.5,est_norm,60.03048780487805,0.44634146341463415,383
60,frac_r_ge_0.5,half_split_r,60.03048780487805,0.4475609756097561,383
60,frac_r_ge_0.5,random,60.03048780487805,0.44146341463414634,383
60,frac_r_ge_0.7,uniform,60.0,0.3195121951219512,0
60,frac_r_ge_0.7,oracle,60.03048780487805,0.3548780487804878,383
60,frac_r_ge_0.7,probe,60.03048780487805,0.35365853658536583,383
60,frac_r_ge_0.7,est_norm,60.03048780487805,0.35,383
60,frac_r_ge_0.7,half_split_r,60.03048780487805,0.3475609756097561,383
60,frac_r_ge_0.7,random,60.03048780487805,0.275609756097561,383
75,mean_r,uniform,75.0,0.47194917453128055,0
75,mean_r,oracle,75.03048780487805,0.46523841315271536,547
75,mean_r,probe,75.03048780487805,0.47558975840889317,547
75,mean_r,est_norm,75.03048780487805,0.4751617882687074,547
75,mean_r,half_split_r,75.03048780487805,0.47295207441962966,547
75,mean_r,random,75.03048780487805,0.46299993748452833,547
75,frac_r_ge_0.5,uniform,75.0,0.47317073170731705,0
75,frac_r_ge_0.5,oracle,75.03048780487805,0.45975609756097563,547
75,frac_r_ge_0.5,probe,75.03048780487805,0.5,547
75,frac_r_ge_0.5,est_norm,75.03048780487805,0.49878048780487805,547
75,frac_r_ge_0.5,half_split_r,75.03048780487805,0.48902439024390243,547
75,frac_r_ge_0.5,random,75.03048780487805,0.4634146341463415,547
75,frac_r_ge_0.7,uniform,75.0,0.32682926829268294,0
75,frac_r_ge_0.7,oracle,75.03048780487805,0.3548780487804878,547
75,frac_r_ge_0.7,probe,75.03048780487805,0.3548780487804878,547
75,frac_r_ge_0.7,est_norm,75.03048780487805,0.3548780487804878,547
75,frac_r_ge_0.7,half_split_r,75.03048780487805,0.3548780487804878,547
75,frac_r_ge_0.7,random,75.03048780487805,0.3170731707317073,547
90,mean_r,uniform,90.0,0.48603239829486716,0
