avg_budget,d_shallow,d_deep,k_deep,rule,objective,value
75.0,50,100,410,half_split_r,frac_r_ge_0.5,0.48048780487804876
75.0,50,100,410,half_split_r,frac_r_ge_0.7,0.35365853658536583
75.0,50,100,410,random,mean_r,0.464240227625099
75.0,50,100,410,random,frac_r_ge_0.5,0.47073170731707314
75.0,50,100,410,random,frac_r_ge_0.7,0.3329268292682927
100.0,100,150,0,uniform,mean_r,0.4882121293999996
100.0,100,150,0,uniform,frac_r_ge_0.5,0.5024390243902439
100.0,100,150,0,uniform,frac_r_ge_0.7,0.3548780487804878
100.0,100,150,0,oracle,mean_r,0.4882121293999996
100.0,100,150,0,oracle,frac_r_ge_0.5,0.5024390243902439
100.0,100,150,0,oracle,frac_r_ge_0.7,0.3548780487804878
100.0,100,150,0,probe,mean_r,0.4882121293999996
100.0,100,150,0,probe,frac_r_ge_0.5,0.5024390243902439
100.0,100,150,0,probe,frac_r_ge_0.7,0.3548780487804878
100.0,100,150,0,est_norm,mean_r,0.4882121293999996
100.0,100,150,0,est_norm,frac_r_ge_0.5,0.5024390243902439
100.0,100,150,0,est_norm,frac_r_ge_0.7,0.3548780487804878
100.0,100,150,0,half_split_r,mean_r,0.4882121293999996
100.0,100,150,0,half_split_r,frac_r_ge_0.5,0.5024390243902439
100.0,100,150,0,half_split_r,frac_r_ge_0.7,0.3548780487804878
100.0,100,150,0,random,mean_r,0.4882121293999996
100.0,100,150,0,random,frac_r_ge_0.5,0.5024390243902439
100.0,100,150,0,random,frac_r_ge_0.7,0.3548780487804878
