split,budget,policy,downstream_pearson,cost
2,70,oracle_mean_r,0.2408604564682876,17080.0
2,70,oracle_frac_ge_0.5,0.24001762416776773,17080.0
2,70,oracle_frac_ge_0.7,0.24052746132281816,17080.0
2,90,uniform,0.24627991871884197,21960.0
2,90,probe(dev-fitted),0.24312378089886877,21960.0
2,90,est_norm,0.24521985322358225,21960.0
2,90,half_split_r,0.24583594953345483,21960.0
2,90,noise_ratio,0.24227247956942274,21960.0
2,90,prior_typiclust,0.2463284483867064,21960.0
2,90,random,0.24489011864845195,21960.0
2,90,oracle_mean_r,0.24585869004040056,21960.0
2,90,oracle_frac_ge_0.5,0.24546318124103447,21960.0
2,90,oracle_frac_ge_0.7,0.24502615135609213,21960.0
3,40,uniform,0.24224232100849505,9760.0
3,40,probe(dev-fitted),0.23815204266843776,9760.0
3,40,est_norm,0.24361226909985734,9760.0
3,40,half_split_r,0.243610498143891,9760.0
3,40,noise_ratio,0.23611501477389227,9760.0
3,40,prior_typiclust,0.2422186157258448,9760.0
3,40,random,0.23779564876779485,9760.0
3,40,oracle_mean_r,0.23971194715554625,9760.0
3,40,oracle_frac_ge_0.5,0.23944230693874538,9760.0
3,40,oracle_frac_ge_0.7,0.23862885648910598,9760.0
3,55,uniform,0.2458742189954978,13420.0
3,55,probe(dev-fitted),0.24088737735748203,13420.0
3,55,est_norm,0.2469824252776785,13420.0
3,55,half_split_r,0.2469792381974728,13420.0
3,55,noise_ratio,0.23719507488453062,13420.0
3,55,prior_typiclust,0.24767282886167966,13420.0
3,55,random,0.2420099149119309,13420.0
3,55,oracle_mean_r,0.24161040261940261,13420.0
3,55,oracle_frac_ge_0.5,0.24201350312234474,13420.0
3,55,oracle_frac_ge_0.7,0.241177108445641,13420.0
3,70,uniform,0.24827528404820515,17080.0
3,70,probe(dev-fitted),0.2443471023752385,17080.0
3,70,est_norm,0.24898662630626248,17080.0
3,70,half_split_r,0.24800224726490824,17080.0
3,70,noise_ratio,0.23974728435727063,17080.0
3,70,prior_typiclust,0.24885615365136715,17080.0
3,70,random,0.24428392805485546,17080.0
3,70,oracle_mean_r,0.24567247325174865,17080.0
3,70,oracle_frac_ge_0.5,0.24369839203283855,17080.0
3,70,oracle_frac_ge_0.7,0.24360054764648031,17080.0
3,90,uniform,0.24893049561214273,21960.0
3,90,probe(dev-fitted),0.24876267518696843,21960.0
3,90,est_norm,0.2507808974849983,21960.0
3,90,half_split_r,0.24951563413928896,21960.0
3,90,noise_ratio,0.24444300304093056,21960.0
3,90,prior_typiclust,0.24921188958641596,21960.0
3,90,random,0.24698024338942076,21960.0
3,90,oracle_mean_r,0.2499120531832857,21960.0
3,90,oracle_frac_ge_0.5,0.24605188335656109,21960.0
3,90,oracle_frac_ge_0.7,0.24626575460304842,21960.0
