avg_budget,objective,rule,actual_budget,value,k_deep
30,mean_r,uniform,30.0,0.5681894696558275,0
30,mean_r,oracle,29.838709677419356,0.5656674995428989,12
30,mean_r,probe,29.838709677419356,0.5656279480949293,12
30,mean_r,est_norm,29.838709677419356,0.5594248033287318,12
30,mean_r,half_split_r,29.838709677419356,0.5590380529769985,12
30,mean_r,random,29.838709677419356,0.5623330169205177,12
30,frac_r_ge_0.5,uniform,30.0,0.6612903225806451,0
30,frac_r_ge_0.5,oracle,29.838709677419356,0.6612903225806451,12
30,frac_r_ge_0.5,probe,29.838709677419356,0.6666666666666666,12
30,frac_r_ge_0.5,est_norm,29.838709677419356,0.6612903225806451,12
30,frac_r_ge_0.5,half_split_r,29.838709677419356,0.6612903225806451,12
30,frac_r_ge_0.5,random,29.838709677419356,0.6612903225806451,12
30,frac_r_ge_0.7,uniform,30.0,0.4731182795698925,0
30,frac_r_ge_0.7,oracle,29.838709677419356,0.4838709677419355,12
30,frac_r_ge_0.7,probe,29.838709677419356,0.46236559139784944,12
30,frac_r_ge_0.7,est_norm,29.838709677419356,0.41935483870967744,12
30,frac_r_ge_0.7,half_split_r,29.838709677419356,0.41935483870967744,12
30,frac_r_ge_0.7,random,29.838709677419356,0.44086021505376344,12
40,mean_r,uniform,40.0,0.5944727294343671,0
40,mean_r,oracle,39.91935483870968,0.5873459155779581,37
40,mean_r,probe,39.91935483870968,0.586695673132018,37
40,mean_r,est_norm,39.91935483870968,0.5702493323383032,37
40,mean_r,half_split_r,39.91935483870968,0.5706566387574622,37
40,mean_r,random,39.91935483870968,0.5782164545614207,37
40,frac_r_ge_0.5,uniform,40.0,0.6720430107526881,0
40,frac_r_ge_0.5,oracle,39.91935483870968,0.6612903225806451,37
40,frac_r_ge_0.5,probe,39.91935483870968,0.6720430107526881,37
40,frac_r_ge_0.5,est_norm,39.91935483870968,0.6612903225806451,37
40,frac_r_ge_0.5,half_split_r,39.91935483870968,0.6612903225806451,37
40,frac_r_ge_0.5,random,39.91935483870968,0.6881720430107527,37
40,frac_r_ge_0.7,uniform,40.0,0.521505376344086,0
40,frac_r_ge_0.7,oracle,39.91935483870968,0.6182795698924731,37
40,frac_r_ge_0.7,probe,39.91935483870968,0.5591397849462365,37
40,frac_r_ge_0.7,est_norm,39.91935483870968,0.41935483870967744,37
40,frac_r_ge_0.7,half_split_r,39.91935483870968,0.41935483870967744,37
40,frac_r_ge_0.7,random,39.91935483870968,0.45161290322580644,37
50,mean_r,uniform,50.0,0.6207559892129066,0
50,mean_r,oracle,50.0,0.600565247513736,62
50,mean_r,probe,50.0,0.6062180766666961,62
50,mean_r,est_norm,50.0,0.584928301838229,62
50,mean_r,half_split_r,50.0,0.5844881110191795,62
50,mean_r,random,50.0,0.5932074114421233,62
50,frac_r_ge_0.5,uniform,50.0,0.6989247311827957,0
50,frac_r_ge_0.5,oracle,50.0,0.6720430107526881,62
50,frac_r_ge_0.5,probe,50.0,0.6935483870967742,62
50,frac_r_ge_0.5,est_norm,50.0,0.6612903225806451,62
50,frac_r_ge_0.5,half_split_r,50.0,0.6612903225806451,62
50,frac_r_ge_0.5,random,50.0,0.6774193548387096,62
50,frac_r_ge_0.7,uniform,50.0,0.5483870967741935,0
50,frac_r_ge_0.7,oracle,50.0,0.6236559139784946,62
50,frac_r_ge_0.7,probe,50.0,0.6129032258064516,62
50,frac_r_ge_0.7,est_norm,50.0,0.41935483870967744,62
50,frac_r_ge_0.7,half_split_r,50.0,0.43010752688172044,62
50,frac_r_ge_0.7,random,50.0,0.4731182795698925,62
60,mean_r,uniform,60.0,0.6308272580735907,0
60,mean_r,oracle,60.08064516129032,0.6145909055094295,87
60,mean_r,probe,60.08064516129032,0.6230980134769423,87
60,mean_r,est_norm,60.08064516129032,0.6023366967964202,87
60,mean_r,half_split_r,60.08064516129032,0.6018149195229368,87
60,mean_r,random,60.08064516129032,0.6053005693622708,87
60,frac_r_ge_0.5,uniform,60.0,0.6989247311827957,0
60,frac_r_ge_0.5,oracle,60.08064516129032,0.6827956989247311,87
60,frac_r_ge_0.5,probe,60.08064516129032,0.7150537634408602,87
60,frac_r_ge_0.5,est_norm,60.08064516129032,0.6612903225806451,87
60,frac_r_ge_0.5,half_split_r,60.08064516129032,0.6612903225806451,87
60,frac_r_ge_0.5,random,60.08064516129032,0.6881720430107527,87
60,frac_r_ge_0.7,uniform,60.0,0.5752688172043011,0
60,frac_r_ge_0.7,oracle,60.08064516129032,0.6236559139784946,87
60,frac_r_ge_0.7,probe,60.08064516129032,0.6182795698924731,87
60,frac_r_ge_0.7,est_norm,60.08064516129032,0.46774193548387094,87
60,frac_r_ge_0.7,half_split_r,60.08064516129032,0.46774193548387094,87
60,frac_r_ge_0.7,random,60.08064516129032,0.532258064516129,87
75,mean_r,uniform,75.0,0.6459341613646168,0
75,mean_r,oracle,75.0,0.6372193764292245,124
75,mean_r,probe,75.0,0.6435922859180953,124
75,mean_r,est_norm,75.0,0.6339027389019537,124
75,mean_r,half_split_r,75.0,0.6348342996152703,124
75,mean_r,random,75.0,0.6289854212640765,124
75,frac_r_ge_0.5,uniform,75.0,0.7150537634408602,0
75,frac_r_ge_0.5,oracle,75.0,0.7096774193548387,124
75,frac_r_ge_0.5,probe,75.0,0.7365591397849462,124
75,frac_r_ge_0.5,est_norm,75.0,0.6720430107526881,124
75,frac_r_ge_0.5,half_split_r,75.0,0.6881720430107527,124
75,frac_r_ge_0.5,random,75.0,0.7150537634408602,124
75,frac_r_ge_0.7,uniform,75.0,0.5860215053763441,0
75,frac_r_ge_0.7,oracle,75.0,0.6236559139784946,124
75,frac_r_ge_0.7,probe,75.0,0.6236559139784946,124
75,frac_r_ge_0.7,est_norm,75.0,0.6129032258064516,124
75,frac_r_ge_0.7,half_split_r,75.0,0.6075268817204301,124
75,frac_r_ge_0.7,random,75.0,0.553763440860215,124
90,mean_r,uniform,90.0,0.661041064655643,0
90,mean_r,oracle,89.91935483870968,0.6564837329098855,161
90,mean_r,probe,89.91935483870968,0.6609692527505214,161
90,mean_r,est_norm,89.91935483870968,0.6601892744532454,161
90,mean_r,half_split_r,89.91935483870968,0.6609081336345234,161
90,mean_r,random,89.91935483870968,0.6564309003074418,161
90,frac_r_ge_0.5,uniform,90.0,0.7311827956989247,0
90,frac_r_ge_0.5,oracle,89.91935483870968,0.7258064516129032,161
90,frac_r_ge_0.5,probe,89.91935483870968,0.7365591397849462,161
90,frac_r_ge_0.5,est_norm,89.91935483870968,0.7365591397849462,161
90,frac_r_ge_0.5,half_split_r,89.91935483870968,0.7365591397849462,161
90,frac_r_ge_0.5,random,89.91935483870968,0.7204301075268817,161
90,frac_r_ge_0.7,uniform,90.0,0.6182795698924731,0
90,frac_r_ge_0.7,oracle,89.91935483870968,0.6236559139784946,161
90,frac_r_ge_0.7,probe,89.91935483870968,0.6236559139784946,161
