run,seed,round,n_labeled,pearson_delta,frac_opposite_direction_top20_non_dropout,mse_non_dropout,mse_top20_de_non_dropout,pearson_delta_top20_de_non_dropout,mse_4_non_dropout,mse_4_top20_de_non_dropout,model_weight,source
1,1,0,100,0.1096241060527546,0.4377604166666667,0.0108396634459495,0.1162433996796608,0.1718188199553704,0.0025357124743992,0.0885982520668525,0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.2200402268099909,0.3953125,0.0096910344436764,0.1019615158438682,0.2919995679838496,0.0021760068247191,0.0773316263583486,0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.2577726397145288,0.3580729166666667,0.0091159082949161,0.0946278199553489,0.3623615521702727,0.001940032374851,0.0697460201528125,0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
1,1,3,400,0.3029676448736672,0.3473958333333333,0.0082081919535994,0.0828550085425376,0.3786328033658401,0.0013548661387952,0.0469428713731455,0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
1,1,4,500,0.2872189243457834,0.3307291666666667,0.0084637738764286,0.0859116241335868,0.3786952154112897,0.0015369319436795,0.0519660408026538,0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
1,1,5,600,0.2899131691533385,0.3200520833333333,0.0084376381710171,0.0823770835995674,0.382245050020654,0.0014342432407744,0.0480126835322759,0.75,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw0.75_run1_Core-Set_diff_effect_metrics.csv
1,1,0,100,0.1075679603838316,0.4276041666666666,0.0108521245419979,0.115764282643795,0.1773741294941802,0.0025068075980865,0.0874587499597206,1.0,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
1,1,1,200,0.1756994981477211,0.3895833333333334,0.0096480287611484,0.1080413237214088,0.2718180262617017,0.0022400967401432,0.0809378263814323,1.0,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
1,1,2,300,0.2292085457622597,0.3598958333333333,0.0091054029762744,0.0991077423095703,0.3011078731874603,0.0020511885412755,0.0758827257703766,1.0,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
1,1,3,400,0.2096023219947804,0.3434895833333333,0.0089688003063201,0.0956699550151825,0.3073961031136732,0.0020157115911691,0.0715633642166115,1.0,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
1,1,4,500,0.2409299843884943,0.34296875,0.0087443320080637,0.094888299703598,0.3329813169766269,0.0019470068419032,0.0690750226780892,1.0,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
1,1,5,600,0.275575121031144,0.33671875,0.0086362110450863,0.0943252220749855,0.378978508436023,0.0019310257044853,0.0694952588005738,1.0,GEARS_100_5_100_256_1_rt_simple_loss_v2_ess_1k_fix_eval_priormean_new_max_mw1.0_run1_Core-Set_diff_effect_metrics.csv
