method_a,method_b,comparison,budget,mean_difference,std_difference,paired_bootstrap_ci_low,paired_bootstrap_ci_high,win_rate_across_seeds,n_pairs
IterPert,BADGE,IterPert_minus_BADGE,200,0.04045767000666117,0.01856015158004108,0.029349042632722123,0.05117137973029594,1.0,10
IterPert,BADGE,IterPert_minus_BADGE,300,0.040549841411810526,0.019082834392455388,0.029690336275350105,0.05232942343924858,1.0,10
IterPert,BADGE,IterPert_minus_BADGE,400,0.021286781564080683,0.021498041719253447,0.008031615354659665,0.0329331577689948,0.8,10
IterPert,BADGE,IterPert_minus_BADGE,600,0.007147724759763474,0.011806794601467543,0.0007450080077813304,0.01436984286813543,0.7,10
IterPert,BADGE,IterPert_minus_BADGE,nALC,0.023789498054846644,0.009826441030961943,0.01793691686645909,0.02945947190499647,1.0,10
IterPert,Random,IterPert_minus_Random,200,0.060109623838084804,0.021661769255003394,0.04813951868837339,0.07348804262968016,1.0,10
IterPert,Random,IterPert_minus_Random,300,0.049523102697243734,0.018381731792727136,0.03809131971612501,0.05967105189238762,1.0,10
IterPert,Random,IterPert_minus_Random,400,0.0626667385891387,0.016379583111643295,0.052373803466809254,0.07138193767235401,1.0,10
IterPert,Random,IterPert_minus_Random,600,0.02215434817215963,0.01985770939035514,0.010875253576450064,0.03402367656749942,0.9,10
IterPert,Random,IterPert_minus_Random,nALC,0.04291336613676559,0.007926144394696114,0.038384249920141236,0.04772232547415206,1.0,10
IterPert,Core-Set,IterPert_minus_Core-Set,200,0.047803472985337415,0.029649804923774635,0.03182021173061712,0.06604726991183335,1.0,10
IterPert,Core-Set,IterPert_minus_Core-Set,300,0.05259011347489943,0.026484123630527837,0.03627979194533737,0.06712595932114555,0.9,10
IterPert,Core-Set,IterPert_minus_Core-Set,400,0.03660361655315614,0.04138953514740237,0.012837061112046466,0.06127069440239046,0.8,10
IterPert,Core-Set,IterPert_minus_Core-Set,600,0.03294819484243875,0.03230531861985488,0.01536173549717933,0.05320474710812553,0.9,10
IterPert,Core-Set,IterPert_minus_Core-Set,nALC,0.036405595678321946,0.02333529738194159,0.022633792582241585,0.050124326401603324,0.9,10
IterPert,TypiClust,IterPert_minus_TypiClust,200,0.02829388433807426,0.019352213629985526,0.01697421457610511,0.039779410065163376,0.9,10
IterPert,TypiClust,IterPert_minus_TypiClust,300,0.034457569039814506,0.023036874225057187,0.02103883839340033,0.0476629527115315,0.9,10
IterPert,TypiClust,IterPert_minus_TypiClust,400,0.02424000772954344,0.02561858537346698,0.009005726982993826,0.038999873620785545,0.6,10
IterPert,TypiClust,IterPert_minus_TypiClust,600,0.009470957196669221,0.013117752139788635,0.0018336920069487498,0.01716624917293928,0.8,10
IterPert,TypiClust,IterPert_minus_TypiClust,nALC,0.021211514013433824,0.006359230659169552,0.01776289398772977,0.025174120950514484,1.0,10
