,biogpt_kernel,esm_kernel,node2vec_kernel,ops_A549_kernel,ops_HeLa_DMEM_kernel,ops_HeLa_HPLM_kernel,pops_kernel,rpe1_kernel
biogpt_kernel,1.0,0.004122545729034714,0.0010124415212278695,-0.011973975917026314,-0.008958810835422947,0.00016692669647821602,0.09610740778066836,0.10274924487967227
esm_kernel,0.004122545729034714,0.9999999999999998,0.052596541817950294,0.01647617282200155,0.01362943660893337,0.013471044979624985,0.03822239012626645,0.07049346675608079
node2vec_kernel,0.0010124415212278695,0.052596541817950294,1.0,0.029529426048159942,0.03881901495697461,0.048197053105472724,0.11955846637128346,0.03949437124227511
ops_A549_kernel,-0.011973975917026314,0.01647617282200155,0.029529426048159942,1.0,0.03142503223743881,0.05023349180386891,0.03697848193207222,0.04229022866252091
ops_HeLa_DMEM_kernel,-0.008958810835422947,0.01362943660893337,0.03881901495697461,0.03142503223743881,1.0,0.23533330091715796,0.013930647525186255,-0.02034774304849659
ops_HeLa_HPLM_kernel,0.00016692669647821602,0.013471044979624985,0.048197053105472724,0.05023349180386891,0.23533330091715796,0.9999999999999998,0.030370515838613936,0.029682034498969785
pops_kernel,0.09610740778066836,0.03822239012626645,0.11955846637128346,0.03697848193207222,0.013930647525186255,0.030370515838613936,1.0,0.22758974822270364
rpe1_kernel,0.10274924487967227,0.07049346675608079,0.03949437124227511,0.04229022866252091,-0.02034774304849659,0.029682034498969785,0.22758974822270364,1.0
