,biogpt_kernel,esm_kernel,node2vec_kernel,ops_A549_kernel,ops_HeLa_DMEM_kernel,ops_HeLa_HPLM_kernel,pops_kernel,rpe1_kernel
biogpt_kernel,0.9999999999999994,0.05524588530337757,0.14226127111401712,0.0321255696594618,0.03212751125960568,0.029460111645633266,0.19551578055022095,0.04652417986264742
esm_kernel,0.05524588530337757,1.0000000000000004,0.08364900785172918,0.02112118252217385,0.015929246124073846,0.015745715589349955,0.11105574373041838,0.030866237172138683
node2vec_kernel,0.14226127111401712,0.08364900785172918,0.9999999999999992,0.04985260412594639,0.0889349013541698,0.10285782332841409,0.26719826449142225,0.12489234842301505
ops_A549_kernel,0.0321255696594618,0.02112118252217385,0.04985260412594639,1.0,0.04615637060387907,0.06363584786915771,0.0727161242021371,0.08826142788899546
ops_HeLa_DMEM_kernel,0.03212751125960568,0.015929246124073846,0.0889349013541698,0.04615637060387907,1.0,0.40531405045195207,0.0633805830637825,0.06902611885598428
ops_HeLa_HPLM_kernel,0.029460111645633266,0.015745715589349955,0.10285782332841409,0.06363584786915771,0.40531405045195207,1.0000000000000004,0.07056954393181172,0.09852910046141224
pops_kernel,0.19551578055022095,0.11105574373041838,0.26719826449142225,0.0727161242021371,0.0633805830637825,0.07056954393181172,0.9999999999999994,0.10869480547407948
rpe1_kernel,0.04652417986264742,0.030866237172138683,0.12489234842301505,0.08826142788899546,0.06902611885598428,0.09852910046141224,0.10869480547407948,1.0000000000000007
