,biogpt_kernel,esm_kernel,node2vec_kernel,ops_A549_kernel,ops_HeLa_DMEM_kernel,ops_HeLa_HPLM_kernel,pops_kernel,rpe1_kernel
biogpt_kernel,1.0000000000000004,0.08326067238722336,0.1271186948411433,0.021010202365608903,0.018448889564643186,0.01716715830541008,0.167598575324378,0.04721654370826222
esm_kernel,0.08326067238722336,0.9999999999999998,0.07514552153278543,0.01385470407080356,0.0077800634191301345,0.008387670234213652,0.09389274334140064,0.031195660176998267
node2vec_kernel,0.1271186948411433,0.07514552153278543,0.9999999999999993,0.035834528451942835,0.07891892882517829,0.09445425205890358,0.265630436026513,0.12110662408534498
ops_A549_kernel,0.021010202365608903,0.01385470407080356,0.035834528451942835,0.9999999999999991,0.03490354109272957,0.053617883069855515,0.04643245670039612,0.08389138042698677
ops_HeLa_DMEM_kernel,0.018448889564643186,0.0077800634191301345,0.07891892882517829,0.03490354109272957,1.000000000000001,0.39986136735577393,0.04385851312394108,0.0649093622540296
ops_HeLa_HPLM_kernel,0.01716715830541008,0.008387670234213652,0.09445425205890358,0.053617883069855515,0.39986136735577393,0.9999999999999996,0.054642462841880596,0.09493133322917269
pops_kernel,0.167598575324378,0.09389274334140064,0.265630436026513,0.04643245670039612,0.04385851312394108,0.054642462841880596,1.0000000000000002,0.1077465942019619
rpe1_kernel,0.04721654370826222,0.031195660176998267,0.12110662408534498,0.08389138042698677,0.0649093622540296,0.09493133322917269,0.1077465942019619,1.0000000000000004
