n_labeled,mean,std,min,max,count
100,0.1148873283162661,0.01312275260452,0.0906916090292149,0.1331261482146427,10
200,0.18604070638317832,0.02462383935562677,0.1330899505873428,0.2132750577404859,10
300,0.21281659617862977,0.021939320729633574,0.185143415423538,0.2452411578616117,10
400,0.23658844123616712,0.029046601648092956,0.1847739795453987,0.2747718490489223,10
500,0.25126930899477734,0.02485808158195678,0.2138727130260456,0.2888175066349299,10
600,0.2512058002023164,0.025696565940323258,0.1931664388130003,0.2883780060395962,10
