n_labeled,mean,std,min,max,count
100,0.11552581621825772,0.01557237484025961,0.0885960153605171,0.1349383688251274,10
200,0.17662820133463003,0.01747232670639606,0.1589474655629975,0.2095477560405337,10
300,0.20159947761220437,0.026107055642908425,0.1376598300890737,0.2253678526343686,10
400,0.2228438423985409,0.023120489537606717,0.1947271951794655,0.2592857439151255,10
500,0.22570396267443668,0.02081598440360723,0.1982292814850332,0.2695111129588756,10
600,0.24868120979326952,0.013597908154611838,0.2241170752829082,0.2666388148001626,10
