run,state_n,stage,spearman_w_vs_delta,pvalue
1,100,early,0.09999999999999999,0.8728885715695383
1,300,middle,-0.7,0.1881204043741873
1,500,late,-0.7,0.1881204043741873
2,100,early,-0.3,0.6238376647810728
2,300,middle,-0.7999999999999999,0.10408803866182788
2,500,late,0.09999999999999999,0.8728885715695383
3,100,early,-0.7,0.1881204043741873
3,300,middle,-0.7999999999999999,0.10408803866182788
3,500,late,0.09999999999999999,0.8728885715695383
