run,state_n,stage,C,mean_low_w,mean_high_w,interpretation
1,100,early,-0.0014754890907767715,0.11114763694553717,0.1096721478547604,prior-heavy
1,300,middle,-0.009700749115547719,0.016384491817341,0.006683742701793283,prior-heavy
1,500,late,-0.017271510601641893,0.00872630239210137,-0.008545208209540522,prior-heavy
2,100,early,-0.005796289492520798,0.1018522668044385,0.0960559773119177,prior-heavy
2,300,middle,-0.012081243658553911,0.012704003883198589,0.0006227602246446778,prior-heavy
2,500,late,-0.005351855495358326,0.0015242330709748508,-0.0038276224243834756,prior-heavy
3,100,early,-0.036874286735148726,0.145523527500912,0.10864924076576327,prior-heavy
3,300,middle,-0.021157245606670705,0.04035811681821297,0.019200871211542264,prior-heavy
3,500,late,-0.004106334155388858,-0.005606352229584138,-0.009712686384972996,prior-heavy
