state_n,1,2,3
100,-0.0014754890907767715,-0.005796289492520798,-0.036874286735148726
300,-0.009700749115547719,-0.012081243658553911,-0.021157245606670705
500,-0.017271510601641893,-0.005351855495358326,-0.004106334155388858
