n_labeled,Random,CoreSet,IterPert,Oracle,IterPert_winrate,CoreSet_winrate,Random_winrate,oracle_minus_iterpert,same_state_first_query,is_init
100,0.11682392646868356,0.1148873283162661,0.11549125068939611,0.11815867275151726,0.3,0.1,0.6,0.002667422062121144,False,True
200,0.17373455553043093,0.18604070638317832,0.23343236843419884,0.23343236843419884,1.0,0.0,0.0,0.0,True,False
300,0.2158836069562855,0.21281659617862977,0.26366233578386333,0.26371707035865577,0.9,0.1,0.0,5.47345747924366e-05,False,False
400,0.21052531920018458,0.23658844123616712,0.27209839224667315,0.27504905697851434,0.8,0.2,0.0,0.0029506647318411905,False,False
500,0.24766749640228505,0.25126930899477734,0.2817383213080397,0.28432311621650147,0.7,0.2,0.1,0.0025847949084617516,False,False
600,0.2619996468725955,0.2512058002023164,0.284455406592267,0.28569012072261923,0.8,0.1,0.1,0.0012347141303522546,False,False
